name,animaltype,breed,colour,sex,suburb,AgeYears
TAYAH ,DOG ,BOXER ,BRINDLE/WHITE ,F,BANNOCKBURN,
ELI ,DOG ,DACHSHUND ,BLACK AND TAN ,F,BANNOCKBURN,
ARCHIE ,DOG ,JACK RUSSELL TERRIER ,WHITE ,M,BANNOCKBURN,
ROXY ,DOG ,AIREDALE TERRIER ,BLACK & TAN ,F,BANNOCKBURN,
BONNIE ,DOG ,JACK RUSSELL TERRIER ,TRI COLOR ,F,BANNOCKBURN,
BOB ,DOG ,MALTESE ,BLACK/WHITE ,M,BANNOCKBURN,
JAZZ ,DOG ,GERMAN SPITZ ,CREAM ,F,BANNOCKBURN,
WILLOW ,DOG ,BOXER ,BRINDLE ,F,BANNOCKBURN,
DUSTY ,DOG ,BLUE HEELER ,BLUE ,F,BANNOCKBURN,
SHAHBEAU ,CAT ,SCOTTISH FOLD ,CAMEO ,M,BANNOCKBURN,
MEG ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE AND WHITE ,F,BANNOCKBURN,
RUBY ,DOG ,BEAGLE ,TRI COLOUR ,F,BANNOCKBURN,
GINGER ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,F,BANNOCKBURN,
VADA ,DOG ,GERMAN SHORTHAIRED POINTER ,BLACK/WHITE ,M,BANNOCKBURN,
TARLAH ,DOG ,SHIH TZU ,WHITE.BROWN ,F,BANNOCKBURN,
QUE ,DOG ,GERMAN SHORTHAIRED POINTER ,WHITE WITH BLACK SPOTS ,M,BANNOCKBURN,
COCO ,DOG ,DALMATIAN ,BLACK/WHITE ,F,BANNOCKBURN,
.BELLA ,DOG ,DALMATIAN ,LIVER/WHITE ,F,BANNOCKBURN,
HOLLY ,DOG ,LABRADOR ,WHITE ,F,BANNOCKBURN,
ZAC ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
MILO ,CAT ,RAG DOLL CAT ,SEAL POINT MITTED BI ,M,BANNOCKBURN,
HOLLY ,DOG ,HEELER X ,TRI COLOUR ,F,BANNOCKBURN,
ZAC ,DOG ,LABRADOR X ,BLACK ,M,BANNOCKBURN,
COOPER ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,BANNOCKBURN,
MILO ,DOG ,MALT./SHIH TZU X ,WHITE ,M,BANNOCKBURN,
MOLLY ,CAT ,MANX ,GREY AND WHITE ,F,GHERINGHAP,
MABEL ,CAT ,MANX ,GREY TABBY ,F,GHERINGHAP,
JO ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
OPI ,CAT ,MOGGIE ,TABBY ,F,BANNOCKBURN,
SCOUT ,DOG ,LABRADOR ,YELLOW ,F,BANNOCKBURN,
CHELSEA ,DOG ,ROTTWEILER X ,BLACK AND TAN ,F,BANNOCKBURN,
FINN ,DOG ,WHIPPET ,TAN/WHITE ,M,BANNOCKBURN,
JONAH ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN AND WHITE ,M,BANNOCKBURN,
TASSIE ,DOG ,BORDER COLLIE ,BLACK WHITE ,F,BANNOCKBURN,
VICTORIA ,CAT ,DOMESTIC SHORT HAIR ,TORTISHELL ,F,BANNOCKBURN,
HARVEY ,DOG ,GOLDEN RETRIEVER ,BLACK ,M,BANNOCKBURN,
JESS ,DOG ,RED HEELER ,RED ,F,BANNOCKBURN,
LARRY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,M,BANNOCKBURN,
MONTY ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BANNOCKBURN,
SPIKE ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,M,BANNOCKBURN,
LIPPY ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,F,BANNOCKBURN,
JAZZY ,DOG ,BLUE HEELER ,BLUE ,F,BANNOCKBURN,
POPPY ,DOG ,BLUE HEELER ,BLUE ,F,BANNOCKBURN,
ZIVA ,DOG ,RHODESIAN RIDGEBACK ,RED & CREAM ,F,BANNOCKBURN,
INDIE ,DOG ,RHODESIAN RIDGEBACK ,RED ,F,BANNOCKBURN,
EDDIE ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BANNOCKBURN,
ROSIE ,DOG ,KELPIE X ,BLACK & TAN ,F,BANNOCKBURN,
SMOKEY ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,F,BANNOCKBURN,
COCO ,DOG ,DOGUE DE BORDEAUX X NEAPOLITAN,RED & WHITE ,F,BANNOCKBURN,
ROCKY ,DOG ,DACHSHUND ,BLACK AND TAN ,M,BANNOCKBURN,
LOWRIDER ,DOG ,DACHSHUND ,RED/BROWN ,M,BANNOCKBURN,
KOBI ,DOG ,KING CHARLES SPANIEL ,RUBY & WHITE ,M,BANNOCKBURN,
SASHA ,DOG ,DOBERMAN ,BLACK & TAN ,F,BANNOCKBURN,
TESS ,DOG ,LABRADOR X ,GOLD ,F,BANNOCKBURN,
BILLIE ,CAT ,DOMESTIC SHORT HAIR ,GINGER/WHITE ,M,BANNOCKBURN,
ROSIE ,DOG ,FOX TERRIER ,BLACK/WHITE ,F,BANNOCKBURN,
DIAMOND ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK/BLUE ,F,BANNOCKBURN,
NESSIE ,DOG ,SCHNOODLE ,BLACK & WHITE ,F,BANNOCKBURN,
BEN ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
SASHA ,DOG ,PUG ,BRINDLE ,F,BANNOCKBURN,
TINY ,DOG ,MALT./SHIH TZU X ,WHITE ,M,BANNOCKBURN,
KIPA ,DOG ,STAGHOUND ,BLACK/WHITE ,F,BANNOCKBURN,
CHICO ,DOG ,LABRADOR ,BROWN ,M,BANNOCKBURN,
TAZER ,DOG ,WHIPPET X ,WHITE AND TAN ,M,BANNOCKBURN,
BAXTER ,CAT ,DOMESTIC LONG HAIR ,GREY ,M,BANNOCKBURN,
DEISEL ,DOG ,BOXER ,TAN ,M,BANNOCKBURN,
BEAU ,DOG ,BRITTANY SPANIEL ,LIVER WHITE ,M,BANNOCKBURN,
GIZMO ,DOG ,POMERANIAN ,BROWN ,M,BANNOCKBURN,
JASPER ,DOG ,DACHSHUND ,BROWN ,M,BANNOCKBURN,
SOOTY ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BANNOCKBURN,
RUBY ,DOG ,KELPIE ,BLACK AND TAN ,F,BANNOCKBURN,
BARNIE ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN ,M,BANNOCKBURN,
MANGO ,CAT ,TABBY ,GREY/WHITE ,M,BANNOCKBURN,
