name,animaltype,breed,colour,sex,suburb,AgeYears
CONAN ,DOG ,BORDER COLLIE X KELPIE ,BLACK AND WHITE ,M,ROSS CREEK,
JESS ,DOG ,KELPIE X ,BLACK TAN AND WHITE ,F,ROSS CREEK,
ALBERT ,DOG ,FOX TERRIER ,TRI COLOR ,M,ROSS CREEK,
MIA ,DOG ,SIBERIAN HUSKY ,SILVER ,F,ROSS CREEK,
GEMMA ,DOG ,BORDER COLLIE ,BROWN AND WHITE ,F,ROSS CREEK,
TARA ,DOG ,BORDER COLLIE ,BROWN AND WHITE ,F,ROSS CREEK,
BUD ,DOG ,JACK RUSSELL X ,TRI ,M,ROSS CREEK,
COCO ,DOG ,BORDER COLLIE ,TRI ,F,ROSS CREEK,
JOJO ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,ROSS CREEK,
CHARLIE ,DOG ,MALT./SHIH TZU X ,APRICOT ,M,ROSS CREEK,
JAKE ,DOG ,KELPIE ,BLACK ,M,ROSS CREEK,
WHISKY ,DOG ,PUG ,TRI COLOUR ,M,ROSS CREEK,
MOLLY ,DOG ,FOX TERRIER ,WHITE AND BROWN ,F,ROSS CREEK,
BRANDY ,DOG ,GERMAN SHEPHERD ,BLACK/GOLD ,F,ROSS CREEK,
KASEY ,DOG ,LABRADOR ,BROWN ,F,ROSS CREEK,
ISABELLA ,CAT ,DOMESTIC SHORT HAIR ,CHAMPAGNE & WHITE ,F,ROSS CREEK,
TAFFY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,ROSS CREEK,
CHLOE ,DOG ,LABRADOR X POODLE ,BLACK ,F,ROSS CREEK,
HEIDI ,DOG ,Labradoodle ,BLACK ,F,ROSS CREEK,
MIA ,DOG ,ENGLISH STAFFY ,TAN & WHITE ,F,ROSS CREEK,
MOLLY ,DOG ,KELPIE X ,BLACK WHITE ,F,ROSS CREEK,
MILLIE ,DOG ,KELPIE ,BLACK & WHITE ,F,ROSS CREEK,
ROCKY ,DOG ,STAFFORDSHIRE BULL TERRIER X ,BRINDLE ,M,ROSS CREEK,
APACHE ,DOG ,QUEENSLAND HEELER ,RED ,F,ROSS CREEK,
BINDI ,DOG ,SIBERIAN HUSKY ,APRICOT ,F,ROSS CREEK,
STORM ,DOG ,SIBERIAN HUSKY ,BLACK AND WHITE ,F,ROSS CREEK,
SANDY ,DOG ,ALASKAN MALAMUTE ,APRICOT ,F,ROSS CREEK,
BUNDY ,DOG ,ALASKAN MALAMUTE ,WHITE ,M,ROSS CREEK,
NIGGER ,DOG ,KELPIE ,BLACK ,M,ROSS CREEK,
STRIKA ,DOG ,STAFFORDSHIRE BULL TERRIER ,LIGHT BROWN ,M,ROSS CREEK,
BINDI ,DOG ,CAVALIER KING CHARLES SPANIEL ,BLACK AND TAN ,F,ROSS CREEK,
BELLA ,CAT ,DOMESTIC LONG HAIR ,TABBY ,F,ROSS CREEK,
OSCAR ,DOG ,JACK RUSSELL TERRIER ,BLACK AND WHITE ,M,ROSS CREEK,
MILLIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,ROSS CREEK,
TAZ ,DOG ,SMITHFIELD ,BLACK & WHITE ,M,ROSS CREEK,
MACY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,F,ROSS CREEK,
CHOCO ,DOG ,KELPIE ,BROWN ,M,ROSS CREEK,
DUKE ,DOG ,KELPIE ,TAN ,M,ROSS CREEK,
NED ,DOG ,KELPIE X ,TRI ,M,ROSS CREEK,
TOBY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,ROSS CREEK,
DAVEY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,ROSS CREEK,
TINKERBELL ,CAT ,DOMESTIC SHORT HAIR ,BLACK AND WHITE ,F,ROSS CREEK,
PERCY ,DOG ,BLUE HEELER ,BLUE ,M,ROSS CREEK,
FLORENCE ,DOG ,LABRADOR ,BLACK AND BROWN ,F,ROSS CREEK,
MOLLIE ,DOG ,BORDER COLLIE X ,BLACK/WHITE ,F,ROSS CREEK,
PHILLIP ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE/TABBY ,F,ROSS CREEK,
ROSIE ,DOG ,RED HEELER ,RED ,F,ROSS CREEK,
TOBY ,DOG ,MALTESE TERRIER X ,WHITE ,M,ROSS CREEK,
CODY ,DOG ,MALTESE TERRIER X ,WHITE WITH TAN ,M,ROSS CREEK,
AMIE ,CAT ,MOGGIE ,TABBY ,F,SMYTHESDALE,
BELLA ,CAT ,RAG DOLL CAT ,BLUE POINT ,F,SMYTHESDALE,
KATIE ,CAT ,ORIENTAL CAT ,WHITE & TABBY ,F,SMYTHESDALE,
WAGS ,DOG ,MALT./SHIH TZU X ,WHIT & BROWN ,M,SCARSDALE,
MISSY ,DOG ,MALT./SHIH TZU X ,WHITE ,F,SCARSDALE,
OSKAR ,DOG ,JACK RUSSELL TERRIER ,TRI COLOUR ,M,SCARSDALE,
MILLIE ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,F,SCARSDALE,
EFFIE ,DOG ,POODLE ,CHOCOLATE ,F,SCARSDALE,
SNITCH ,DOG ,COLLIE ,SABLE ,M,SCARSDALE,
YOGI ,DOG ,JACK RUSSELL X ,BLACK & WHITE ,M,SCARSDALE,
LILY ,DOG ,LABRADOR ,BLACK ,F,SCARSDALE,
JAMES ,DOG ,CHIHUAHUA X ,CREAM & WHITE ,M,SCARSDALE,
.GRACIE ,CAT ,SCOTTISH FOLD ,TORTOISESHELL ,F,SCARSDALE,
LENNY ,DOG ,BEAGLE ,BROWN & WHITE ,M,SCARSDALE,
GEMMA ,DOG ,POMERANIAN ,RED ,F,SCARSDALE,
MINNY ,DOG ,FOX TERRIER ,TRI ,F,SCARSDALE,
TYSON ,DOG ,POMERANIAN ,RED ,M,SCARSDALE,
RALLY ,DOG ,AUSTRALIAN SHEPHERD ,BLUE MERLE ,M,NEWTOWN,
INKA ,DOG ,SCHIPPERKE ,BLACK ,F,NEWTOWN,
HOOVER ,DOG ,ROTTWEILER ,BLACK & TAN ,F,SCARSDALE,
TYSON ,DOG ,ROTTWEILER ,BLACK & TAN ,M,SCARSDALE,
TUFFY ,CAT ,MOGGIE ,GINGER ,M,SCARSDALE,
SALLY ,DOG ,CAVALIER KING CHARLES SPANIEL ,BLACK & TAN ,F,NEWTOWN,
LUCY ,DOG ,CAVALIER KING CHARLES SPANIEL ,RUBY ,F,NEWTOWN,
BARKER ,DOG ,KELPIE X ,BLACK & TAN ,M,SCARSDALE,
JEX ,DOG ,GERMAN SHEPHERD ,BLACK & BROWN ,M,NEWTOWN,
SPROCKET ,DOG ,ENGLISH STAFFY ,BRINDLE ,M,NEWTOWN,
PJ ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,NEWTOWN,
BARKLEY ,DOG ,BOXER ,TAN & WHITE ,M,NEWTOWN,
SUZIE ,DOG ,COLLIE ,BLACK & WHITE ,F,SCARSDALE,
JACK ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,NEWTOWN,
SHADOW ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,F,NEWTOWN,
ALLIOTT ,DOG ,ENGLISH SPRINGER SPANIEL ,LIVER & WHITE ,M,NEWTOWN,
SHADOW ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,NEWTOWN,
TRIXIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,NEWTOWN,
TAZ ,DOG ,GERMAN SHEPHERD ,BLACK & TAN ,M,SCARSDALE,
CHUCKLES ,DOG ,BORDER COLLIE X ,BLACK & WHITE ,M,NEWTOWN,
MOOCH ,CAT ,CAT ,GREY & WHITE ,F,NEWTOWN,
SASHA ,DOG ,STAFFORDSHIRE BULL TERRIER X ,BROWN/BLACK/WHITE ,F,NEWTOWN,
HARLEY ,DOG ,MASTIFF X ,BROWN ,M,NEWTOWN,
THOR ,DOG ,KELPIE X ,TRI ,M,NEWTOWN,
KOLA ,DOG ,KELPIE X ,TRI ,M,NEWTOWN,
BELLA ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK AND BRINDLE ,F,NEWTOWN,
CINDY ,DOG ,POMERANIAN ,CHAMPAGNE ,F,SCARSDALE,
PENNY ,DOG ,POMERANIAN ,RED ,F,SCARSDALE,
DASHER ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,M,SCARSDALE,
MISSY ,DOG ,MALTESE TERRIER X ,WHITE ,F,SCARSDALE,
SCOUT ,DOG ,KELPIE X ,TRI COLOR ,M,SCARSDALE,
YOYO ,DOG ,COLLIE X ,WHITE & BROWN ,F,SCARSDALE,
RUSTY ,DOG ,JACK RUSSELL TERRIER ,BLACK & WHITE ,M,SCARSDALE,
QUINN ,DOG ,LABRADOR X ,BLACK & WHITE ,M,SCARSDALE,
BONNIE ,DOG ,LABRADOR X ,BLACK ,F,SCARSDALE,
RIPLEY ,DOG ,STAGHOUND X ,WHITE/BRINDLE ,M,SCARSDALE,
BELLA ,DOG ,POODLE ,CHOCOLATE ,F,SCARSDALE,
MILLIE ,CAT ,DOMESTIC SHORT HAIR ,SILVER TABBY ,F,SCARSDALE,
SCOUT ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER/WHITE ,M,SCARSDALE,
OAKIE ,DOG ,BLUE HEELER ,BLUE ,M,SCARSDALE,
MAX ,DOG ,PUG ,FAWN ,F,SCARSDALE,
PIERRE ,DOG ,KING CHARLES SPANIEL ,TRI ,M,SCARSDALE,
SELLY ,DOG ,KELPIE X ,BLACK AND WHITE ,F,SCARSDALE,
MAC ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,SCARSDALE,
BEAU ,DOG ,KELPIE X ,BLACK/WHITE ,M,SCARSDALE,
JOY ,DOG ,KELPIE ,BLACK AND TAN ,F,SCARSDALE,
SHILOH ,CAT ,BENGAL ,SILVER SPOTTED ,M,SCARSDALE,
 ,DOG ,IRISH SETTER ,RED ,M,SCARSDALE,
MIKA ,CAT ,BENGAL ,SPOTTED MINK ,M,SCARSDALE,
INDI ,DOG ,BOXER ,BRINDLE ,F,SCARSDALE,
TOBY ,DOG ,SPANIEL ,WHITE & GINGER ,M,SCARSDALE,
PATCH ,DOG ,MALT./SHIH TZU X ,WHITE & BLACK ,M,SCARSDALE,
COREY ,DOG ,SHIH TZU ,WHITE ,M,SCARSDALE,
SHELLY ,DOG ,KELPIE X ,BLACK WITH WHITE PATCH ,F,SCARSDALE,
TUNI ,CAT ,DOMESTIC LONG HAIR ,TABBY ,F,SCARSDALE,
SAMBA ,DOG ,GERMAN SHEPHERD ,TAN & BLACK ,F,SCARSDALE,
MOLLY ,DOG ,JACK RUSSELL X ,WHITE AND TAN ,F,SCARSDALE,
JENSEN ,DOG ,MALT./SHIH TZU X ,WHITE ,M,SCARSDALE,
JORDY ,DOG ,MALT./SHIH TZU X ,WHITE AND BLACK ,M,SCARSDALE,
DINGO ,DOG ,RED HEELER ,RED ,F,SCARSDALE,
BRUISER ,DOG ,KELPIE ,RED& WHITE ,M,SCARSDALE,
PETE ,DOG ,CHIHUAHUA X ,BROWN/GOLD ,M,SCARSDALE,
LUCY ,DOG ,COOLIE ,BLACK & WHITE ,F,SCARSDALE,
MISCA ,DOG ,KING CHARLES SPANIEL ,TRI ,F,SCARSDALE,
MOLLY ,DOG ,MALTESE ,WHITE ,F,SCARSDALE,
ZOE ,DOG ,BEAGLE ,BROWN ,F,SCARSDALE,
GIZMO ,DOG ,CHIHUAHUA ,CHAMPAGNE ,M,SCARSDALE,
CHELSEA ,DOG ,KING CHARLES SPANIEL ,BLENHEIM ,F,SCARSDALE,
PEBBLES ,DOG ,KING CHARLES SPANIEL ,BLENHEIM ,F,SCARSDALE,
PENNY ,DOG ,MINIATURE FOX TERRIER ,TRI ,F,SCARSDALE,
BONNIE ,DOG ,BLUE HEELER ,BLUE AND BLACK ,F,SCARSDALE,
BOWSER ,DOG ,BOXER ,RED ,M,SCARSDALE,
MUNCHKIN ,DOG ,CROSS BREED DOG ,TAN & WHITE ,M,SCARSDALE,
BONNIE ,DOG ,AUSTRALIAN TERRIER X ,WHITE/TAN ,F,SCARSDALE,
FRANKIE ,DOG ,BOXER X ,TAN WHITE ,M,SCARSDALE,
FLETCHER ,DOG ,ROTTWEILER X ,BLACK AND TAN ,M,SCARSDALE,
DRAKE ,DOG ,LABRADOR X ,BLACK ,M,SCARSDALE,
THEO ,CAT ,DOMESTIC SHORT HAIR ,NUTMEG ,M,SCARSDALE,
REX ,DOG ,MALT./SHIH TZU X ,WHITE & BROWN ,M,SCARSDALE,
ANGEL ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDL;E ,F,SCARSDALE,
DEMON ,DOG ,DOBERMAN ,BLACK & TAN ,M,SCARSDALE,
MIKA ,CAT ,CAT ,GREY ,M,SCARSDALE,
CHARLOTTE ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK ,F,SCARSDALE,
RILEY ,DOG ,BULLMASTIFF  X ,BRINDLE ,M,SCARSDALE,
SNOOP ,DOG ,LABRADOR X ,GOLD ,M,SCARSDALE,
CHIKO ,DOG ,LABRADOR X ,BLACK ,F,SCARSDALE,
WOOKY ,DOG ,POODLE X ,WHITE AND GREY ,M,SCARSDALE,
JESS ,DOG ,LABRADOR X ,TAN ,F,SCARSDALE,
SAFFY ,DOG ,JACK RUSSELL X ,TRI ,M,SCARSDALE,
ODDIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,SCARSDALE,
SARGENT ,DOG ,LABRADOR X ,BLACK ,M,SCARSDALE,
MOLLY ,DOG ,KELPIE X ,RED ,F,SCARSDALE,
MILLIE ,DOG ,LABRADOR ,GOLD & WHITE ,F,SCARSDALE,
LUKIE ,DOG ,JACK RUSSELL TERRIER ,WHITE & TAN ,M,SCARSDALE,
LUNA ,DOG ,BOXER ,WHITE ,F,SCARSDALE,
BELLA ,DOG ,FOX TERRIER ,BLACK & WHITE ,F,SCARSDALE,
SPARKELS ,DOG ,DACHSHUND ,BLACK ,F,SCARSDALE,
EDDY ,DOG ,JACK RUSSELL TERRIER ,BLACK & WHITE ,M,SCARSDALE,
PHEOBE ,DOG ,SHITZHU X ,LIGHT BROWN ,F,SCARSDALE,
JAKE ,DOG ,ENGLISH STAFFY ,RED DAPPLE ,M,SCARSDALE,
CHARLIE ,DOG ,CHIHUAHUA X ,BROWN & WHITE ,M,SCARSDALE,
TOBY ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,SCARSDALE,
RYAN ,CAT ,DOMESTIC SHORT HAIR ,WHITE/TABBY ,M,SCARSDALE,
TIGER ,DOG ,BORDER COLLIE X KELPIE ,TRI ,M,SCARSDALE,
DRAGONCLAW ,DOG ,GERMAN SHEPHERD ,BLACK/TAN ,F,SCARSDALE,
BOSS ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK AND BRINDLE ,M,SCARSDALE,
STORM ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLUE ,F,SCARSDALE,
PERI ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLUE AND WHITE ,F,SCARSDALE,
POMMIE ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLUE AND WHITE ,M,SCARSDALE,
MOLLY ,DOG ,FOX TERRIER ,WHITE & BLACK ,F,SCARSDALE,
TIGER ,CAT ,DOMESTIC SHORT HAIR ,BROWN/ORANGE ,M,SCARSDALE,
MOO ,DOG ,AMERICAN STAFFORDSHIRE TERRIER,BLACK & WHITE ,F,SCARSDALE,
DIESEL ,DOG ,JACK RUSSELL TERRIER ,WHITE BROWN ,M,SCARSDALE,
TROOP ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,F,SCARSDALE,
ELLIE ,DOG ,ROTTWEILER ,BLACK & BROWN ,F,SCARSDALE,
MISSY ,DOG ,KELPIE ,TAN/WHITE ,F,NEWTOWN,
JAZZ ,DOG ,STAGHOUND X ,BLACK & WHITE ,F,SCARSDALE,
ROXY ,DOG ,GREYHOUND ,BLACK ,F,NEWTOWN,
BEAN ,DOG ,BORDER COLLIE X KELPIE ,BLACK AND WHITE ,F,NEWTOWN,
T-BORE ,DOG ,BORDER COLLIE X KELPIE ,BLACK AND WHITE ,F,NEWTOWN,
ARTHUR ,DOG ,SCOTTISH TERRIER ,BLACK ,M,NEWTOWN,
BELLA ,DOG ,JACK RUSSELL X ,WHITE & TAN ,F,NEWTOWN,
SAM ,DOG ,POMERANIAN X ,BLACK ,M,NEWTOWN,
TINK ,DOG ,JACK RUSSELL TERRIER ,TRI COLOUR ,F,NEWTOWN,
FURBALL ,CAT ,DOMESTIC LONG HAIR ,BLACK ,F,NEWTOWN,
KOVU ,DOG ,STAFFORDSHIRE BULL TERRIER X ,BLACK ,M,NEWTOWN,
CRUISER ,DOG ,GERMAN SHEPHERD X ,BLACK & TAN ,M,NEWTOWN,
TIA ,DOG ,KELPIE X ,TRI ,F,NEWTOWN,
SPARKY ,CAT ,TABBY ,TABBY ,M,NEWTOWN,
SKYE ,DOG ,HUSKY ,TRI ,F,NEWTOWN,
BUDDY ,DOG ,CHIHUAHUA ,BLACK & BROWN ,M,NEWTOWN,
BO ,DOG ,KELPIE X ,CREAM ,M,NEWTOWN,
BESS ,DOG ,ROTTWEILER ,BLACK & TAN ,F,SCARSDALE,
BUSTA ,DOG ,AMERICAN BULL DOG ,WHITE & BLACK ,M,SCARSDALE,
CHECA ,DOG ,GERMAN SHEPHERD ,BLACK & GOLD ,F,SCARSDALE,
CHILI ,DOG ,GERMAN SHEPHERD ,BLACK & GOLD ,F,SCARSDALE,
DUKE ,DOG ,AMERICAN BULL DOG ,BROWN AND WHITE ,M,SCARSDALE,
REX ,DOG ,GERMAN SHEPHERD ,BLACK ,M,SCARSDALE,
SHEBA ,DOG ,GERMAN SHEPHERD ,SABLE ,F,SCARSDALE,
BUSTER ,DOG ,JACK RUSSELL TERRIER ,TAN & WHITE ,M,NEWTOWN,
DON ,DOG ,KELPIE X ,BLACK & WHITE ,M,SCARSDALE,
TIGER ,CAT ,CAT ,TORTOISESHELL ,F,SCARSDALE,
TRIGGER ,DOG ,GREAT DANE X ,BLACK & WHITE ,M,SCARSDALE,
ZARA ,DOG ,STAFFORDSHIRE BULL TERRIER X ,TAN ,F,SCARSDALE,
BILLIE ,DOG ,KELPIE ,BLACK/TAN ,F,SCARSDALE,
WALLY ,DOG ,IRISH WOLFHOUND ,TAN ,M,SCARSDALE,
ROXY-ANNE ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,SCARSDALE,
BUDDY ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,M,SCARSDALE,
HOLLY ,DOG ,JACK RUSSELL X ,TAN AND WHITE ,F,SCARSDALE,
ROSIE ,CAT ,DOMESTIC LONG HAIR ,TRI ,F,SCARSDALE,
TURBO ,CAT ,TABBY ,GREY BLACKWHITE ,M,SCARSDALE,
MILLY ,DOG ,MINIATURE FOX TERRIER ,BLACK & WHITE ,F,SCARSDALE,
TULLY ,DOG ,RED HEELER X ,TAN & WHITE ,F,SCARSDALE,
FLUFFY ,CAT ,TABBY ,GREY & WHITE ,F,SCARSDALE,
PARKER ,DOG ,GERMAN SHORTHAIRED POINTER ,BROWN & WHITE ,M,SCARSDALE,
ROCCO ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,M,SCARSDALE,
MAX ,DOG ,TERRIER CROSS ,TAN/BLACK/WHITE ,M,SMYTHESDALE,
WIZARD ,DOG ,SPOODLE ,GREY/BLACK ,M,SMYTHESDALE,
CHINO ,DOG ,BORDER COLLIE X ,BROWN & WHITE ,M,SMYTHESDALE,
OSCAR ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,SMYTHESDALE,
PRIVATE ,DOG ,GREYHOUND ,FAWN ,F,SMYTHESDALE,
OTTIS ,DOG ,BEAGLE ,BLACK/TAN/WHITE ,M,SMYTHESDALE,
ELLA ,DOG ,BEAGLE ,TRICOLOUR ,F,SMYTHESDALE,
RUBY ,DOG ,COCKER SPANIEL ,BLACK/WHITE ,F,SCARSDALE,
RAZZ ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,SCARSDALE,
CADBURY ,DOG ,LABRADOR ,CHOCOLATE ,F,SCARSDALE,
SASHA ,DOG ,BEAGLE ,AUBURN/WHITE ,F,SCARSDALE,
TURBO ,DOG ,BEAGLE ,TRI COLOUR ,M,SCARSDALE,
PRINCESS ,DOG ,RED HEELER ,WHITE/BROWN MARKINGS ,F,SCARSDALE,
KEMPPI ,DOG ,POINTER ,WHITE ,F,SCARSDALE,
ANGUS ,DOG ,GERMAN SHEPHERD ,BLACK/GOLD ,M,SCARSDALE,
MARMALADE ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,F,SCARSDALE,
GEM ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER ,F,SCARSDALE,
SASHA ,DOG ,LABRADOR ,BLACK & WHITE ,F,SCARSDALE,
MIFFY ,CAT ,TABBY ,BROWN ,F,SCARSDALE,
RASCAL ,DOG ,SCOTCH COLLIE ,TRI ,M,SCARSDALE,
ALBERT ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,SCARSDALE,
TIGGY ,DOG ,KELPIE ,BLACK & TAN ,F,SCARSDALE,
CHILLI ,DOG ,PARSON RUSSELL TERRIER ,WHITE & BLACK ,F,SCARSDALE,
JANGO ,DOG ,KELPIE X ,BLACK & TAN ,M,SCARSDALE,
JAZZ ,DOG ,JACK RUSSELL TERRIER ,TAN & WHITE ,F,SCARSDALE,
DENZIL ,DOG ,LABRADOR ,GOLD ,M,SCARSDALE,
PARIS ,DOG ,DACHSHUND ,TAN & BLACK ,F,SCARSDALE,
LUMPY ,DOG ,RHODESIAN RIDGEBACK X ,BLACK/WHITE ,F,SCARSDALE,
ARCHIE ,DOG ,DALMATIAN ,BLACK & WHITE ,M,SCARSDALE,
FLEA ,CAT ,DOMESTIC SHORT HAIR ,TORTOISE ,F,SCARSDALE,
SOLO ,DOG ,AUSTRALIAN BULLDOG ,RED SABLE/WHITE ,M,NEWTOWN,
HOLLIE ,DOG ,WHIPPET ,FAWN ,F,NEWTOWN,
MINDEE ,DOG ,KELPIE ,BLACK/TAWNY ,F,NEWTOWN,
DUDE ,DOG ,BORDER COLLIE X KELPIE ,BLACK &  WHITE ,M,SCARSDALE,
SUBIC ,CAT ,DOMESTIC SHORT HAIR ,GINGER TABBY ,M,SCARSDALE,
COOPER ,DOG ,MASTIFF X ,TAN ,M,SCARSDALE,
ELLI ,DOG ,COOLIE ,TAN ,F,SCARSDALE,
LITTLE MISS ,CAT ,DOMESTIC SHORT HAIR ,GREY ,F,SCARSDALE,
BILL ,DOG ,LABRADOR X ,YELLOW ,M,SPRINGDALLAH,
BOSS ,DOG ,STAGHOUND X ,TAN ,M,SPRINGDALLAH,
SPOT ,DOG ,BULL ARAB ,CHOCOLATE ,F,SPRINGDALLAH,
RASCAL ,DOG ,STAGHOUND ,TAN ,M,SPRINGDALLAH,
GYPSY ,DOG ,POINTER X ,CHOCOLATE BRINDLE ,F,SPRINGDALLAH,
RIP ,DOG ,STAFFORDSHIRE BULL TERRIER X ,TAN ,F,SPRINGDALLAH,
TILL ,DOG ,STAGHOUND X ,TAN ,F,SPRINGDALLAH,
COCO ,CAT ,BURMESE ,BROWN ,F,CAPE CLEAR,
BLUEY ,DOG ,BORDER COLLIE ,RED & WHITE ,M,CAPE CLEAR,
TOM ,CAT ,BENGAL ,SILVER SPOTTED ,M,CAPE CLEAR,
MUFFIN ,DOG ,MALTESE ,WHITE ,F,CAPE CLEAR,
CHEYANNE ,DOG ,LABRADOR X ,BLACK ,F,CAPE CLEAR,
DAYKOTA ,DOG ,AMERICAN STAFFORDSHIRE TERRIER,BRINDLE ,F,CAPE CLEAR,
HOOT ,DOG ,KELPIE X ,TRI ,M,CAPE CLEAR,
MINNIE ,DOG ,DACHSHUND X ,TAN ,F,CAPE CLEAR,
ZAC ,DOG ,LABRADOR ,GOLDEN ,M,CAPE CLEAR,
TIFF ,DOG ,MASTIFF X ,FAWN ,F,SPRINGDALLAH,
MOLLY ,DOG ,STAFFORDSHIRE BULL TERRIER X ,TAN ,F,SPRINGDALLAH,
TIPPER ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,PIGGOREET,
CODY ,DOG ,POODLE ,BLACK ,M,STAFFORDSHIRE REEF,
SNOWIE ,DOG ,MAREMMA ,WHITE ,M,BERRINGA,
SHIVER ,DOG ,MAREMMA ,WHITE ,F,BERRINGA,
MIZZI ,DOG ,MAREMMA ,WHITE ,F,BERRINGA,
SALLY ,DOG ,JACK RUSSELL TERRIER ,WHITE & BROWN ,F,PIGGOREET,
ALICE ,CAT ,MOGGIE ,TORTISESHELL ,F,PIGGOREET,
ARCHIE ,CAT ,MOGGIE ,TABBY ,M,PIGGOREET,
JESS ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,SPRINGDALLAH,
MARLEY ,DOG ,BORDER COLLIE ,TRI ,M,PIGGOREET,
BEAU ,DOG ,KOOLIE ,RED ,M,PIGGOREET,
SALLY ,DOG ,BOXER ,BRINDLE ,F,SPRINGDALLAH,
HAMMER ,DOG ,BOXER ,RED/WHITE ,M,SPRINGDALLAH,
ZEUS ,DOG ,BOXER ,WHITE ,M,SPRINGDALLAH,
MANNY ,DOG ,JACK RUSSELL TERRIER ,TAN & WHITE ,M,CAPE CLEAR,
JASMINE ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER & WHITE ,F,CAPE CLEAR,
DAGGS ,DOG ,IRISH WOLFHOUND ,BROWN ,M,CAPE CLEAR,
P.P ,DOG ,MINIATURE FOX TERRIER ,BROWN/WHITE ,F,CAPE CLEAR,
FLOPPY ,DOG ,IRISH WOLFHOUND ,BRINDLE ,F,CAPE CLEAR,
MISSY ,DOG ,KELPIE ,BLACK ,F,CAPE CLEAR,
REMY ,DOG ,BOXER X ,BRINDLE ,F,CAPE CLEAR,
INDY ,DOG ,KELPIE X ,BLACK & WHITE ,F,CAPE CLEAR,
HUNTER ,DOG ,CURLY COATED RETRIEVER ,BLACK ,M,CAPE CLEAR,
MUMMY CAT ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,F,CAPE CLEAR,
CARLY ,DOG ,LABRADOR X ,SANDY ,F,CAPE CLEAR,
BANDIT ,DOG ,BOXER ,BRINDLE ,M,CAPE CLEAR,
HOLLY ,DOG ,FOX TERRIER X ,BLACK & WHITE ,F,CAPE CLEAR,
TAJ ,DOG ,BOXER ,TAN ,M,CAPE CLEAR,
REX ,DOG ,GERMAN SHEPHERD X ,BLACK & TAN ,M,CAPE CLEAR,
FRANKY ,DOG ,AUSTRALIAN TERRIER ,RED ,M,CAPE CLEAR,
DINGO ,DOG ,KELPIE ,BLACK ,M,CAPE CLEAR,
KING ,DOG ,KELPIE ,BLACK & WHITE ,M,CAPE CLEAR,
BRUNO ,DOG ,KELPIE ,BROWN ,M,CAPE CLEAR,
LADY ,DOG ,KELPIE ,BLACK & WHITE ,F,CAPE CLEAR,
SOLDIER ,DOG ,POINTER ,BLUE/BLACK SPOTS ,M,CAPE CLEAR,
HUNTER ,DOG ,STAGHOUND ,WHITE ,M,CAPE CLEAR,
MILO ,DOG ,JACK RUSSELL X ,TAN ,M,STAFFORDSHIRE REEF,
PEPPE ,DOG ,FOX TERRIER X ,BLACK & WHITE ,M,STAFFORDSHIRE REEF,
POPPY ,DOG ,MALT./SHIH TZU X ,GREY/WHITE ,F,STAFFORDSHIRE REEF,
BEAU ,DOG ,BLUE HEELER ,BLACK/BLUE ,M,BERRINGA,
JACK ,DOG ,KELPIE X ,BLACK AND TAN ,M,BERRINGA,
MONTANA ,DOG ,LABRADOR ,BLACK ,F,BERRINGA,
