name,animaltype,breed,colour,sex,suburb,AgeYears,blank
Chief,D         ,JACKRUSSLX,BlackWhite,M,COOLUM BEACH,15,
Lewy,D         ,FOXTERRIE ,WhiteTan  ,M,KULUIN,15,
Mr Bossy Boots,D         ,SHIHTZUX  ,Silver    ,M,MAROOCHYDORE,16,
Tiger,Cat       ,DOMSH     ,GreyWhite ,M,BUDERIM,15,
Maya,Cat       ,DOMSH     ,TriColour ,F,MOOLOOLABA,15,
Charlie,D         ,MALTESEX  ,WhiteTan  ,M,SIPPY DOWNS,15,
Sebastian,Cat       ,DOMSH     ,GreyWhite ,M,BUDERIM,15,
Jasmine,Cat       ,CHINCHILLA,White     ,F,BUDERIM,19,
Alexander,Cat       ,SIAMESE   ,White     ,M,BURNSIDE,16,
Angel,Cat       ,DOMLH     ,Ginger    ,F,MOUNTAIN CREEK,16,
Buffy,D         ,MALTESEX  ,White     ,F,POINT ARKWRIGHT,14,
Gadget,Cat       ,DOMSH     ,Ginger    ,M,,18,
Daisy,D         ,LHASAAPSOX,Cream     ,F,PEREGIAN SPRINGS,15,
Gi Gi,D         ,TERRIERWT ,White     ,F,EUMUNDI,15,
Billie,Cat       ,BURMESE   ,Chocolate ,F,TOWEN MOUNTAIN,18,
Heidi,Cat       ,DOMLH     ,BlackWhite,F,NAMBOUR,17,
Asia,Cat       ,RUSSIANBL ,Blue      ,F,BLI BLI,15,
Louie,D         ,MALTESEX  ,TanGold   ,M,MOOLOOLABA,15,
Bender,D         ,SPANIELTB ,TriColour ,M,PALMWOODS,15,
Malibu,D         ,BICHONFRS ,White     ,M,COOLUM BEACH,20,
Ruby,D         ,SPANIELTB ,WhiteTan  ,F,MOUNTAIN CREEK,21,
Bundy,D         ,MAREMMSHP ,Cream     ,M,EUDLO,20,
Beau,D         ,ROTTWEILR ,BlackTan  ,M,MOUNTAIN CREEK,19,
Bridie,D         ,TERRIERSI ,SilverBlac,F,PACIFIC PARADISE,19,
Chloe,D         ,PAPILLONX ,WhiteBlack,F,SIPPY DOWNS,21,
Bata,D         ,POODLEMIN ,Black     ,M,BUDERIM,19,
Henri,D         ,PAPILLON  ,BlackWhite,M,COOLUM BEACH,19,
Twinky,Cat       ,TABBY     ,Unknown   ,F,DOONAN,18,
Edward,D         ,TERRIERSIX,BlackTan  ,M,BUDERIM,18,
Gracie,D         ,CATDGSMTH ,Blue      ,F,BLI BLI,18,
Petra,D         ,LABRADOR  ,Chocolate ,F,ROSEMOUNT,17,
Jack,D         ,JACKRUSSL ,Tan       ,M,MOOLOOLABA,17,
Zoe,D         ,POODLETOY ,Black     ,F,,16,
Pepper,D         ,DACHSHDLHX,Black     ,F,NAMBOUR,17,
Cashel,D         ,JACKRUSSL ,Tan       ,F,TANAWHA,16,
Skooty,D         ,TERRIERX  ,BlackTan  ,M,MONS,17,
Nemo,D         ,TERRIERWHX,BlackWhite,M,BUDERIM,18,
Dizzy,D         ,CATTLEDOGX,RedWhite  ,M,MAROOCHYDORE,16,
Bonnie,D         ,COLLBORDR ,BlackWhite,F,BUDERIM,16,
Sallie,D         ,SPOODLE   ,Gold      ,F,BUDERIM,16,
Lewis,D         ,LABRADOODL,Beige     ,M,BUDERIM,16,
Monty,D         ,SHIHTZUX  ,TanWhite  ,M,MOOLOOLABA,16,
Lorrel,D         ,TERRIERWH ,BrownTan  ,F,COOLUM BEACH,17,
Millie,D         ,CATTLEDOGX,Tan       ,F,BURNSIDE,15,
Yoda,D         ,JACKRUSSLX,WhiteTan  ,M,BUDERIM,17,
Billie,D         ,SPANIELCVX,CaramelWht,M,ROSEMOUNT,16,
Curly,D         ,TERRIERTN ,White     ,M,MAROOCHYDORE,16,
Spotz,D         ,TERRIERTN ,White     ,M,MAROOCHYDORE,16,
Quimby,D         ,SPOODLE   ,Cream     ,M,BUDERIM,16,
Casey,D         ,FOXTERRMNX,TriColour ,F,NAMBOUR,16,
Buddy,D         ,STAFFRDBT ,Black     ,M,MAROOCHYDORE,16,
Hunter,D         ,POODLEMIN ,Chocolate ,M,NAMBOUR,16,
Nelson,D         ,DACHSHUND ,Tan       ,M,BUDERIM,16,
Coco,D         ,POODLE    ,Red       ,M,MAROOCHYDORE,16,
Honey,D         ,POODLE    ,White     ,F,PALMWOODS,16,
Sayla,D         ,LABRADOR  ,Black     ,F,ROSEMOUNT,16,
Roxy,D         ,SPOODLE   ,CreamTan  ,F,YAROOMBA,15,
Amber,D         ,TERRIERAUX,Brown     ,F,SIPPY DOWNS,20,
Bella,D         ,COLLBORDRX,BlackWhite,F,BUDERIM,15,
Mischa,D         ,COLLBORDR ,BlackWhite,F,COOLUM BEACH,15,
Tasha,D         ,STAFFRDBTX,Brindle   ,F,NAMBOUR,15,
Rhani,D         ,STAFFRDAM ,Tan       ,F,MAROOCHYDORE,20,
Cassie,D         ,DACHSHUND ,Tan       ,F,NAMBOUR,15,
Jade,D         ,MALTESEX  ,BrownBlack,F,COOLUM BEACH,15,
Meggie,D         ,CATTLEDOGX,BlueWhite ,F,BRIDGES,15,
Pipette,D         ,BICHONFRSX,Black     ,F,POINT ARKWRIGHT,15,
Lilee,D         ,SHIHTZUX  ,WhiteBrown,F,BURNSIDE,15,
Alfie,D         ,MALTESEX  ,BlackWhite,M,GHEERULLA,16,
Abbie,D         ,FOXTERRIE ,TanWhite  ,F,LITTLE MOUNTAIN,15,
Louie,D         ,POODLETOY ,Red       ,M,BUDDINA,15,
Jack,D         ,SPANIELTBX,WhiteTan  ,M,ILKLEY,16,
Tassy,D         ,MALTESEX  ,White     ,M,SIPPY DOWNS,15,
Toby,D         ,FOXTERRIEX,BlackGrey ,M,NAMBOUR,15,
Milo,D         ,WHIPPET   ,Fawn      ,M,SIPPY DOWNS,15,
Bear,D         ,CORGICARD ,BlackWhite,M,FLAXTON,15,
Sammy,D         ,MALTESEX  ,BrownWhite,M,PALMWOODS,15,
Pippi,D         ,JACKRUSSLX,BlackWhite,M,TWIN WATERS,15,
Millie,D         ,DACHSHUNDM,Brown     ,F,WURTULLA,15,
Lola,D         ,STAFFRDBT ,Brindle   ,F,COOLUM BEACH,15,
Max,D         ,DACHSHLHM ,BlackTan  ,M,BUDERIM,15,
St Joseph,Cat       ,TABBY     ,BlackWhite,F,,17,
Rocket,D         ,TERRIERTN ,BlackWhite,M,BUDERIM,15,
Misty,Cat       ,HIMALAYAN ,Unknown   ,F,BUDERIM,17,
Luca,D         ,LABRADOODL,Champagne ,M,MOOLOOLABA,15,
Sharna,D         ,COLLBORDR ,RedWhite  ,F,PALMWOODS,16,
Roxy,D         ,LABRADOODL,Gold      ,F,BUDERIM,14,
Tyson,D         ,BULLTERRX ,BrownWhite,M,MOUNTAIN CREEK,17,
Roy,D         ,SPANIELCK ,Black     ,M,MOUNTAIN CREEK,16,
Zarla,Cat       ,SIAMESE   ,Grey      ,F,NAMBOUR,14,
Misty,Cat       ,BURMESE   ,Sandy     ,F,SIPPY DOWNS,15,
Chocky,D         ,JACKRUSMN ,Unknown   ,M,YANDINA,15,
Magnus,Cat       ,SIAMESE   ,CreamDkPts,M,TWIN WATERS,16,
Ranni,Cat       ,RAGDOLL   ,Black     ,F,MOOLOOLABA,16,
Maddison,Cat       ,TABBY     ,Ginger    ,F,SIPPY DOWNS,16,
Jess,D         ,MALTESE   ,White     ,M,BLI BLI,21,
Chloe,D         ,MALTESE   ,White     ,F,NAMBOUR,20,
Shadow,D         ,JACKRUSSL ,BlackWhite,F,YAROOMBA,21,
Toby,D         ,POODLESTDX,GreyWhite ,M,BUDERIM,20,
Pixie,D         ,TERRIERX  ,Tan       ,F,MARCOOLA,20,
Susi,D         ,GERMNSHEP ,Brown     ,F,EUDLO,18,
Shelby,D         ,CATTLEDOGX,Grey      ,F,NINDERRY,18,
Pandy,D         ,LHASAAPSO ,BlackWhite,F,BUDERIM,17,
Bayley,D         ,LABRADOR  ,Cream     ,M,PALMWOODS,17,
Rocky,D         ,SHIHTZUX  ,Tan       ,M,KULUIN,17,
Oti,D         ,SPANIELCKX,Gold      ,M,PALMVIEW,17,
Tyson,D         ,CHINESECRE,White     ,M,ALEXANDRA HEADLAND,17,
Sui,D         ,KELPIEAUSX,BlackTan  ,F,MONS,16,
Bruce,D         ,FOXTERRIEX,White     ,M,BLI BLI,17,
Joe,D         ,FOXTERRMN ,TriColour ,M,PACIFIC PARADISE,16,
Joe,D         ,CATTLEDOG ,Black     ,M,BLI BLI,16,
Hudson,D         ,COLLBORDR ,WhiteBlack,M,REESVILLE,16,
Bella,D         ,BICHONFRS ,White     ,F,BUDERIM,17,
Millie,D         ,MALTESEX  ,Sandy     ,F,MOUNTAIN CREEK,16,
Jack,D         ,FOXTERRIEX,BlackTan  ,M,ALEXANDRA HEADLAND,18,
Pepper,D         ,POMERANIA ,Tan       ,M,MAROOCHY RIVER,16,
Kirby,D         ,COLLBORDR ,BlackWhite,F,COOLUM BEACH,16,
Orlando,D         ,POODLETOY ,Black     ,M,SHELLY BEACH,15,
Milly,D         ,SPOODLE   ,Ginger    ,F,BUDERIM,16,
Oscar,D         ,LABRADOR  ,Gold      ,M,YAROOMBA,15,
Comox,D         ,STAFFRDBT ,TanWhite  ,M,MAPLETON,17,
Miss Lucy,D         ,MALTESE   ,White     ,F,MAROOCHYDORE,16,
Ned,D         ,CATDGSMTHX,RedWhite  ,M,CHEVALLUM,16,
Silvio,D         ,POODLEMIN ,Grey      ,M,MUDJIMBA,16,
Bella,D         ,MALTESEX  ,Black     ,F,WARANA,15,
Henry,D         ,MALTESEX  ,White     ,M,ROSEMOUNT,16,
Rosie,D         ,LABRADOODL,Cream     ,F,SIPPY DOWNS,15,
Max,D         ,SPOODLE   ,Brindle   ,M,ROSEMOUNT,16,
Scruffy*,D         ,MALTESEX  ,Champagne ,M,KULUIN,15,
Missy,D         ,FOXTERRMN ,BlackWhite,F,HUNCHY,16,
Maddie,D         ,MALTESEX  ,BlackWhite,F,MARCOOLA,19,
Tommy,D         ,SPOODLE   ,Apricot   ,M,BLI BLI,15,
Ruby,D         ,JACKRUSSL ,WhiteTan  ,F,MAROOCHY RIVER,16,
Max,D         ,COLLBORDR ,BlackWhite,M,YANDINA,15,
Purity,D         ,MALTESEX  ,White     ,F,SIPPY DOWNS,16,
No name supplied,D         ,POODLE    ,Black     ,F,EUMUNDI,15,
Bronson,D         ,JACKRUSSL ,BrownWhite,M,MONS,15,
Kaylee,D         ,POODLEX   ,Apricot   ,F,NAMBOUR,16,
Charlie,D         ,MALTESEX  ,WhiteFawn ,M,NAMBOUR,14,
Lucky,D         ,SHIHTZU   ,WhiteBlack,M,BUDERIM,15,
Rosey,D         ,JACKRUSSL ,TriColour ,F,MAPLETON,15,
Barney Wilson,D         ,SPOODLE   ,Black     ,M,NAMBOUR,15,
Chillie,D         ,LABRADOODL,Gold      ,F,COOLUM BEACH,15,
Jack,D         ,FOXTERRMNX,TriColour ,M,BUDERIM,15,
Louie,D         ,BICHONFRSX,BlackWhite,M,BUDERIM,15,
Rosie,D         ,LABRADOR  ,Black     ,F,MOUNTAIN CREEK,15,
Leo,D         ,LABRADOR  ,White     ,M,PALMVIEW,15,
Smooch,D         ,RETRIEVGDX,Cream     ,M,LITTLE MOUNTAIN,15,
Emma,D         ,TERRIERSI ,Black     ,F,YANDINA,18,
Mindi,D         ,FOXTERRMN ,White     ,F,PALMWOODS,15,
Wolf,D         ,TERRIERSIX,Silver    ,M,MAROOCHYDORE,19,
Bella,D         ,SPOODLE   ,WhiteBrown,F,MERIDAN PLAINS,15,
Ruby,D         ,SHIHTZU   ,GoldBlack ,F,KUREELPA,15,
Jasper,D         ,FOXTERRIE ,BrownWhite,M,YANDINA,14,
Bijou,D         ,BICHONFRSX,White     ,F,SIPPY DOWNS,15,
Candy,D         ,LABRADOR  ,Gold      ,F,BUDERIM,15,
Leo,D         ,SHIHTZUX  ,TriColour ,M,MAPLETON,15,
Smudge,Cat       ,TABBY     ,Black     ,M,BUDERIM,17,
Rory,D         ,TERRIERWT ,White     ,M,COOLUM BEACH,14,
Logan,D         ,FOXTERRIEX,BlackWhite,M,MOOLOOLABA,14,
Bella,Cat       ,RUSSIANBLX,GreyWhite ,F,NAMBOUR,17,
Tina,D         ,POMERANIAX,White     ,F,NAMBOUR,16,
Reef,D         ,PUG       ,Fawn      ,M,WOOMBYE,15,
Buddy,D         ,LABRADOR  ,Black     ,M,,14,
Basil,D         ,BEAGLE    ,TriColour ,M,BUDERIM,14,
Mon,Cat       ,BIRMAN    ,BrownWhite,M,HIGHWORTH,15,
Lono,Cat       ,TABBY     ,Tabby     ,M,WOOMBYE,14,
Honey,Cat       ,DOMSH     ,Ginger    ,F,BLI BLI,17,
Cooper,D         ,COLLBORDR ,CaramelWht,M,ALEXANDRA HEADLAND,14,
Snuggles,D         ,SPANIELCVX,White     ,M,VERRIERDALE,15,
Shani,D         ,COLLBORDRX,Brindle   ,F,BUDERIM,22,
Max,D         ,JACKRUSSL ,TanWhite  ,M,,22,
Milly,D         ,COLLBORDRX,BlackWhite,F,MONTVILLE,21,
ralph,D         ,KELPIEAUSX,Red       ,M,BUDERIM,20,
Tiki,D         ,CATTLEDOG ,Red       ,M,BUDERIM,20,
Harry Potter,D         ,POODLETOY ,Apricot   ,M,ROSEMOUNT,20,
Bear,D         ,GERMNSHEP ,BlackTan  ,M,YANDINA,19,
Roxy,D         ,JACKRUSSL ,WhiteTan  ,F,PEREGIAN BEACH,19,
Holly,D         ,COLLBORDR ,BlackWhite,F,NAMBOUR,19,
Max,D         ,FINNISHLAP,BlackWhite,M,KUREELPA,18,
Zac,D         ,BICHONFRSX,WhiteCream,M,BURNSIDE,18,
Brandi,D         ,FOXTERRMNX,Brown     ,F,PALMWOODS,17,
Suzie,D         ,MALTESEX  ,White     ,F,COOLUM BEACH,17,
